state,n,median,mean,std,frac_left,frac_right,polarization,gmm_k,gmm_pi1,gmm_mu1,gmm_sig1,gmm_pi2,gmm_mu2,gmm_sig2
AK,110,-0.00904265811720003,0.006784395464937362,0.27869484794610516,0.5,0.5,0.2419695154255205,2,0.5422976843254592,-0.20817643584044973,0.16576280147561043,0.45770231567454067,0.2614756151625863,0.13239084624653089
AL,905,0.007905487052335736,-0.0023808161294986353,0.3063146430420476,0.4950276243093923,0.5049723756906077,0.2715409288895007,2,0.4898468475264993,-0.2744940844005408,0.1503168717717569,0.5101531524735007,0.25890116553898956,0.15120234676159197
AR,504,0.00665372190567759,-0.00039581430917869374,0.28898157847474637,0.49603174603174605,0.503968253968254,0.25179479903598745,2,0.4802801908283756,-0.2548416219131386,0.15198452572286647,0.5197198091716244,0.2347410399629179,0.15562787116406687
AZ,1419,-0.020160939468441913,-0.005287121895682074,0.30183118249917107,0.5165609584214236,0.4834390415785765,0.26621741641238167,2,0.5292613342036246,-0.25121111059773554,0.15501547522672474,0.4707386657963753,0.27121036562837797,0.1485486888274964
CA,4832,-0.1660456032289486,-0.10273002841695104,0.28413409406190804,0.6587334437086093,0.34126655629139074,0.2671645546075752,2,0.622300656647942,-0.2905397615956562,0.13431252396807636,0.37769934335205796,0.2067068883770597,0.1736685831380581
CO,1029,-0.1078127459022788,-0.06888706748771221,0.28050199431350326,0.6005830903790087,0.39941690962099125,0.250965370519881,2,0.5692607225226856,-0.27177509729269655,0.14045688358489336,0.43073927747731433,0.19924772419975428,0.17406345726093006
CT,615,-0.11999778029494312,-0.0757145745322155,0.27954319029370595,0.6065040650406504,0.3934959349593496,0.25168135449414153,2,0.543687561852066,-0.2876962920765641,0.1316762105067261,0.45631243814793404,0.17685759649314722,0.1823790504880879
DC,191,-0.32455214744500105,-0.26214601615314104,0.21024386971141343,0.8743455497382199,0.1256544502617801,0.3083585425287364,2,0.651008965813655,-0.36878877082906936,0.09202096164581962,0.3489910341863451,-0.06321428830816353,0.2237775143544375
DE,231,-0.15567248803177364,-0.08117253090883543,0.30424638046023367,0.6190476190476191,0.38095238095238093,0.28254174887241523,2,0.5423299285100949,-0.3243588203450128,0.10996002414986364,0.4576700714899051,0.20699838342517374,0.1865669223050102
FL,4466,-0.04467060350318795,-0.02560740335455913,0.3046145435991897,0.5302283922973579,0.4697716077026422,0.27121376219919796,2,0.5153948152716361,-0.2829715038447138,0.14152953189392148,0.48460518472836406,0.24810845278929272,0.15750966875578598
